! NAME [11] IV - Input = 0 V,,,,,,,
Gd,Iin_A,Index,Iout_A,PdcIn_dBm,PdcOut_dBm,Vin_V,Vout_V
0.0011385,-1.75E-06,23,0.046681,-37.56714,20.30865,-0.1,2.3
0.0010285,-1.85E-06,24,0.04679,-37.33063,20.50362,-0.1,2.4
9.27E-04,-1.95E-06,25,0.046886,-37.09961,20.68987,-0.1,2.5
8.70E-04,-2.05E-06,26,0.046975,-36.87611,20.86842,-0.1,2.6
9.13E-04,-2.16E-06,27,0.04706,-36.64943,21.04019,-0.1,2.7
0.001046,-2.27E-06,28,0.047158,-36.43974,21.20712,-0.1,2.8
0.0012691,-2.39E-06,29,0.04727,-36.2233,21.3698,-0.1,2.9
0.001576,-2.50E-06,30,0.047412,-36.01886,21.53004,-0.1,2.99999
0.0019199,-2.63E-06,31,0.047585,-35.80866,21.6883,-0.1,3.1
0.002239,-2.76E-06,32,0.047796,-35.59721,21.84538,-0.1,3.2
0.002528,-2.89E-06,33,0.048033,-35.39252,22.0005,-0.1,3.3
0.0027285,-3.03E-06,34,0.048301,-35.19275,22.15437,-0.1,3.4
0.0026775,-3.17E-06,35,0.048578,-34.99489,22.3051,-0.1,3.5
0.002423,-3.31E-06,36,0.048837,-34.79647,22.45049,-0.1,3.6
0.0020195,-3.46E-06,37,0.049063,-34.60794,22.58955,-0.1,3.7
0.0016715,-3.62E-06,38,0.049241,-34.41411,22.72107,-0.1,3.8
0.00158,-3.78E-06,39,0.049397,-34.22738,22.84767,-0.1,3.9
0.001349,-3.94E-06,40,0.049557,-34.04724,22.97161,-0.1,4
9.02E-04,-4.10E-06,41,0.049667,-33.87428,23.08852,-0.1,4.1
6.47E-04,-4.26E-06,42,0.049737,-33.70998,23.1993,-0.1,4.2
6.41E-04,-4.43E-06,43,0.049796,-33.53596,23.30666,-0.1,4.3
6.86E-04,-4.60E-06,44,0.049865,-33.37148,23.41251,-0.1,4.4
6.75E-04,-4.77E-06,45,0.049934,-33.21118,23.51605,-0.1,4.5
6.38E-04,-4.95E-06,46,0.05,-33.05746,23.6173,-0.1,4.6
6.05E-04,-5.13E-06,47,0.050061,-32.90137,23.71598,-0.1,4.7
5.86E-04,-5.32E-06,48,0.050121,-32.74415,23.81264,-0.1,4.8
5.65E-04,-5.50E-06,49,0.050178,-32.59326,23.90711,-0.099999,4.9
5.61E-04,-5.70E-06,50,0.050234,-32.4382,23.99969,-0.1,4.99999
,,,,,,,
! NAME [11] IV - Input = -0.2 V,,,,,,,
Gd,Iin_A,Index,Iout_A,PdcIn_dBm,PdcOut_dBm,Vin_V,Vout_V
0.11535,-2.25E-07,0,1.06E-05,-43.46792,-73.72675,-0.2,4.00E-06
0.10534,-2.72E-07,1,0.011545,-42.64395,0.62393,-0.2,0.099999
0.082745,-3.27E-07,2,0.021079,-41.84422,6.24884,-0.2,0.2
0.057884,-3.80E-07,3,0.028097,-41.19186,9.25774,-0.2,0.3
0.03568,-4.40E-07,4,0.032658,-40.55517,11.16046,-0.2,0.4
0.019265,-4.98E-07,5,0.035233,-40.01734,12.45921,-0.2,0.5
0.0095388,-5.60E-07,6,0.036511,-39.50782,13.40573,-0.2,0.6
0.00431,-6.24E-07,7,0.037141,-39.03785,14.14952,-0.2,0.7
9.98E-04,-6.86E-07,8,0.037373,-38.62646,14.75647,-0.2,0.8
-3.68E-04,-7.53E-07,9,0.037341,-38.22182,15.26425,-0.2,0.9
-3.50E-04,-8.16E-07,10,0.037299,-37.87282,15.71701,-0.2,1
-1.40E-04,-8.85E-07,11,0.037271,-37.52035,16.1276,-0.2,1.1
2.40E-04,-9.51E-07,12,0.037271,-37.20792,16.50556,-0.2,1.2
7.24E-04,-1.02E-06,13,0.037319,-36.90796,16.85867,-0.2,1.3
0.0012165,-1.09E-06,14,0.037416,-36.61145,17.19187,-0.2,1.4
0.001693,-1.17E-06,15,0.037562,-36.32644,17.50837,-0.2,1.5
0.002112,-1.24E-06,16,0.037755,-36.05899,17.81091,-0.2,1.6
0.002414,-1.32E-06,17,0.037984,-35.78725,18.10052,-0.2,1.7
0.002537,-1.40E-06,18,0.038238,-35.54085,18.37762,-0.2,1.8
0.0024905,-1.48E-06,19,0.038492,-35.27829,18.64119,-0.2,1.9
0.0022525,-1.56E-06,20,0.038736,-35.05289,18.8914,-0.2,2
0.001811,-1.66E-06,21,0.038942,-34.80172,19.12639,-0.2,2.1
0.0013035,-1.74E-06,22,0.039098,-34.5892,19.34575,-0.2,2.2
8.09E-04,-1.83E-06,23,0.039203,-34.35571,19.55045,-0.2,2.3
4.00E-04,-1.93E-06,24,0.03926,-34.13863,19.74157,-0.2,2.4
2.05E-04,-2.02E-06,25,0.039283,-33.92974,19.92144,-0.2,2.5
2.28E-04,-2.12E-06,26,0.039301,-33.73044,20.09373,-0.2,2.6
4.03E-04,-2.22E-06,27,0.039328,-33.52226,20.2607,-0.2,2.7
6.86E-04,-2.32E-06,28,0.039381,-33.33108,20.42448,-0.2,2.8
0.0010165,-2.43E-06,29,0.039466,-33.13004,20.58617,-0.2,2.9
0.0014055,-2.54E-06,30,0.039585,-32.93965,20.74648,-0.2,3
0.0018715,-2.66E-06,31,0.039747,-32.74413,20.90663,-0.2,3.1
0.002465,-2.78E-06,32,0.039959,-32.54615,21.06764,-0.2,3.2
0.001761,-2.91E-06,33,0.04024,-32.3463,21.23169,-0.2,3.3
7.47E-04,-3.04E-06,34,0.040311,-32.15809,21.36904,-0.2,3.4
7.96E-04,-3.16E-06,35,0.040389,-31.98731,21.50332,-0.2,3.5
8.38E-04,-3.29E-06,36,0.04047,-31.8151,21.63439,-0.2,3.6
8.89E-04,-3.42E-06,37,0.040557,-31.64692,21.76264,-0.2,3.7
9.49E-04,-3.56E-06,38,0.040648,-31.48008,21.88823,-0.2,3.8
9.81E-04,-3.69E-06,39,0.040746,-31.31708,22.01154,-0.2,3.9
9.57E-04,-3.84E-06,40,0.040844,-31.15205,22.1319,-0.2,4
9.14E-04,-3.98E-06,41,0.040938,-30.98869,22.24907,-0.2,4.1
8.37E-04,-4.13E-06,42,0.041027,-30.83125,22.36318,-0.2,4.2
7.72E-04,-4.28E-06,43,0.041105,-30.67323,22.47363,-0.2,4.3
7.13E-04,-4.44E-06,44,0.041181,-30.51978,22.58152,-0.2,4.4
7.37E-04,-4.60E-06,45,0.041248,-30.36023,22.68611,-0.2,4.5
8.04E-04,-4.76E-06,46,0.041329,-30.21181,22.79007,-0.2,4.6
7.84E-04,-4.93E-06,47,0.041408,-30.06562,22.89186,-0.2,4.7
7.96E-04,-5.10E-06,48,0.041485,-29.91826,22.99134,-0.2,4.8
7.99E-04,-5.27E-06,49,0.041568,-29.77487,23.0895,-0.2,4.9
7.75E-04,-5.45E-06,50,0.041645,-29.62972,23.18533,-0.2,5
,,,,,,,
! NAME [11] IV - Input = -0.3 V,,,,,,,
Gd,Iin_A,Index,Iout_A,PdcIn_dBm,PdcOut_dBm,Vin_V,Vout_V
0.099884,-3.34E-07,0,8.73E-06,-39.99134,-70.59235,-0.3,-1.00E-05
